NodeNumber,Total Deformation (m)
1445,9.83E-09
1446,1.12E-06
1447,8.44E-07
1448,1.26E-06
1449,1.15E-06
1450,5.78E-10
1451,1.19E-06
1452,1.02E-06
1453,9.03E-10
1454,1.12E-06
1455,1.49E-07
1456,1.58E-09
1457,1.89E-13
1458,9.15E-13
1459,4.97E-07
1460,8.77E-07
1461,5.33E-07
1462,1.03E-06
1463,9.91E-07
1464,1.20E-06
1465,1.15E-06
1466,2.38E-07
1467,1.11E-06
1468,5.32E-07
1469,1.18E-07
1470,1.22E-06
1471,1.64E-12
1472,4.22E-11
1473,1.05E-08
1474,1.27E-09
1475,2.92E-07
1476,7.26E-07
1477,1.02E-06
1478,3.61E-13
1479,3.22E-07
1480,1.13E-06
1481,1.32E-06
1482,2.78E-11
1483,1.13E-06
1484,1.13E-06
1485,1.09E-06
1486,1.80E-10
1487,5.94E-10
1488,5.66E-07
1489,9.92E-07
1490,7.14E-07
1491,9.58E-12
1492,3.98E-08
1493,6.45E-08
1494,4.24E-07
1495,1.12E-06
1496,1.13E-06
1497,8.29E-07
1498,1.11E-06
1499,1.00E-06
1500,6.38E-12
1501,7.66E-10
1502,1.01E-06
1503,7.71E-07
1504,2.29E-14
1505,2.31E-07
1506,3.51E-07
1507,1.01E-06
1508,1.16E-06
1509,5.45E-11
1510,1.13E-06
1511,9.83E-07
1512,5.70E-07
1513,8.14E-07
1514,2.56E-13
1515,4.14E-12
1516,1.96E-09
1517,1.51E-10
1518,2.92E-12
1519,1.23E-07
1520,4.81E-13
1521,8.27E-07
1522,1.13E-06
1523,2.68E-09
1524,5.12E-09
1525,2.84E-08
1526,3.72E-14
1527,3.56E-07
1528,4.58E-07
1529,1.14E-06
1530,2.76E-07
1531,7.06E-07
1532,1.53E-12
1533,1.13E-06
1534,7.87E-07
1535,1.19E-06
1536,1.18E-06
1537,1.16E-06
1538,1.27E-06
1539,4.70E-07
1540,6.48E-07
1541,6.26E-07
1542,4.68E-14
1543,1.05E-06
1544,1.17E-06
1545,1.96E-08
1546,1.24E-06
1547,8.15E-07
1548,1.12E-12
1549,6.19E-07
1550,1.48E-08
1551,5.72E-07
1552,3.83E-11
1553,8.64E-07
1554,9.71E-12
1555,6.51E-07
1556,6.25E-07
1557,1.07E-06
1558,5.99E-13
1559,1.37E-13
1560,3.25E-07
1561,1.24E-06
1562,9.17E-07
1563,3.16E-10
1564,1.22E-08
1565,1.83E-11
1566,8.23E-07
1567,6.85E-14
1568,7.70E-14
1569,1.17E-06
1570,7.58E-07
1571,8.34E-07
1572,2.43E-13
1573,7.18E-08
1574,8.01E-07
1575,6.24E-13
1576,1.22E-06
1577,1.22E-06
1578,1.18E-06
1579,9.88E-14
1580,1.15E-06
1581,1.14E-07
1582,3.20E-12
1583,9.15E-14
1584,1.19E-09
1585,2.18E-14
1586,5.71E-07
1587,4.85E-07
1588,4.24E-07
1589,1.59E-09
1590,1.14E-06
1591,1.24E-06
1592,4.92E-08
1593,4.28E-07
1594,3.35E-12
1595,7.61E-07
1596,5.11E-12
1597,2.91E-10
1598,1.27E-06
1599,5.03E-07
1600,5.66E-09
1601,1.18E-06
1602,1.26E-06
1603,5.23E-07
1604,1.17E-06
1605,8.06E-11
1606,1.23E-06
1607,1.27E-06
1608,1.23E-06
1609,1.21E-06
1610,7.58E-07
1611,1.16E-06
1612,1.18E-06
