NodeNumber,Equivalent Stress (Pa)
1403,1.06E+08
1404,9.51E+07
1405,9.38E+07
1406,1710.3
1407,188.9
1408,2.26E+07
1409,8.91E+07
1410,9.04E+07
1411,1.05E+08
1412,7759.1
1413,1.84E+06
1414,8.85E+07
1415,4.60E+07
1416,6.33E+07
1417,2.89E+05
1418,7.60E+07
1419,4.18E+06
1420,1.01E+08
1421,2.7466
1422,2.4845
1423,6.81E+07
1424,1.34E+07
1425,7.16E+07
1426,7.30E+07
1427,7.15E+07
1428,2.6871
1429,3.31E+05
1430,4.24E+06
1431,185.72
1432,1.14E+08
1433,8.43E+07
1434,8.54E+07
1435,7.94E+06
1436,921.6
1437,7849.4
1438,9.10E+07
1439,4.32E+07
1440,1.37E+07
1441,26547
1442,1.13E+08
1443,1.04E+08
1444,8.51E+07
1445,5.90E+05
1446,9.64E+07
1447,7.34E+07
1448,1.20E+08
1449,1.01E+08
1450,36837
1451,6.56E+07
1452,9.74E+07
1453,59154
1454,1.03E+08
1455,6.79E+06
1456,1.09E+05
1457,9.4159
1458,50.09
1459,3.58E+07
1460,7.40E+07
1461,2.51E+07
1462,9.62E+07
1463,7.23E+07
1464,7.69E+07
1465,1.02E+08
1466,1.44E+07
1467,9.42E+07
1468,4.08E+07
1469,8.39E+06
1470,1.21E+08
1471,110.34
1472,2330.6
1473,6.90E+05
1474,93092
1475,1.52E+07
1476,6.26E+07
1477,8.48E+07
1478,21.053
1479,2.28E+07
1480,9.84E+07
1481,1.28E+08
1482,1436.6
1483,1.05E+08
1484,9.57E+07
1485,9.32E+07
1486,8805.8
1487,31944
1488,4.56E+07
1489,8.26E+07
1490,5.86E+07
1491,533.03
1492,2.32E+06
1493,4.05E+06
1494,3.15E+07
1495,9.60E+07
1496,9.48E+07
1497,6.83E+07
1498,7.34E+07
1499,8.61E+07
1500,370.47
1501,51151
1502,9.27E+07
1503,6.28E+07
1504,0.95933
1505,1.26E+07
1506,2.28E+07
1507,9.23E+07
1508,1.07E+08
1509,2927.3
1510,9.96E+07
1511,6.30E+07
1512,4.28E+07
1513,6.21E+07
1514,14.691
1515,289.13
1516,1.59E+05
1517,11428
1518,113.88
1519,7.50E+06
1520,30.586
1521,5.84E+07
1522,1.01E+08
1523,1.65E+05
1524,2.60E+05
1525,1.72E+06
1526,1.8879
1527,2.28E+07
1528,3.35E+07
1529,9.59E+07
1530,1.40E+07
1531,4.93E+07
1532,71.439
1533,8.68E+07
1534,6.60E+07
1535,1.02E+08
1536,1.01E+08
1537,9.73E+07
1538,1.20E+08
1539,3.78E+07
1540,5.13E+07
